ngram,count
曾經,6531
模,6498
陽,6483
超,6480
非,6461
面嘅,6453
館,6434
未,6425
半,6422
七,6394
且,6387
規,6375
源,6366
除,6335
成為,6332
遊戲,6326
呢啲,6320
歐,6310
配,6304
之一,6292
年嘅,6283
劃,6257
土,6256
更,6220
爲,6220
構,6217
又叫,6213
較,6211
案,6200
腦,6190
地方,6171
發展,6169
即係,6152
層,6147
室,6143
禮,6126
此,6116
完,6103
係指,6102
強,6101
青,6094
景,6034
功,6027
命,6023
根,5981
齊,5967
－,5957
思,5955
已經,5943
低,5941
嘅人,5868
兩個,5867
學校,5850
早,5841
武,5837
尾,5824
演員,5808
火,5802
警,5796
福,5793
蘇,5776
熱,5758
公里,5741
典,5707
普,5702
碼,5697
濟,5687
去到,5686
人民,5681
爭,5666
文化,5662
都有,5655
象,5646
印,5644
巴士,5627
舞,5613
限,5596
續,5589
投,5585
世紀,5572
中心,5570
國際,5570
區嘅,5564
深,5539
年代,5535
算,5526
佈,5523
錄,5515
其中一,5514
運動,5509
粵,5508
最後,5505
居,5503
周,5499
票,5494
器,5491
域,5488
韓,5485
走,5483
容,5483
仲,5469
緊,5464
中華,5462
素,5458
取,5444
唐,5443
今,5438
聖,5427
丁,5413
編,5411
費,5410
營,5397
是,5396
個人,5395
湖,5373
雲,5370
席,5365
飛,5361
屆,5322
伯,5292
宣,5288
識,5286
訊,5284
律,5283
舊,5282
選舉,5255
堂,5250
服務,5224
拼,5223
考,5221
架,5203
眾,5189
病,5179
出現,5171
施,5167
宗,5163
我,5150
好似,5146
真,5144
歷史,5136
亦係,5135
介,5124
獨,5107
木,5105
成立,5102
技,5087
與,5086
修,5085
正式,5079
通常,5077
當中,5066
葉,5058
牌,5044
裝,5040
康,5027
值,5013
車站,5009
威,4999
求,4997
念,4993
系統,4977
魚,4952
季,4951
感,4940
藝人,4913
數字,4912
希,4910
黑,4900
說,4888
試,4869
候,4867
築,4867
人同,4863
底,4860
當時,4854
洋,4853
社會,4847
一啲,4836
可以係,4820
雙,4812
故,4794
嘉,4793
境,4789
拍,4780
千,4778
嘅地,4770
套,4766
證,4761
經濟,4761
同時,4760
公園,4753
影響,4743
部分,4731
夫,4724
般,4724
有一,4719
橋,4713
政治,4708
一間,4693
輯,4685
面積,4672
嘅第,4654
玩,4647
唔係,4646
歲,4638
澳門,4624
評,4622
查,4620
差,4615
何,4608
建築,4596
語言,4594
銀,4580
興,4576
倫,4575
嗰時,4559
料,4556
依,4554
伊,4549
一般,4546
終,4544
概,4541
協,4541
消,4537
寶,4535
跟,4523
雖,4512
快,4504
如果,4502
留,4498
速,4493
一條,4491
供,4487
佢喺,4453
叫做,4434
行政,4430
易,4429
告,4420
納,4408
護,4407
步,4403
泰,4387
可能,4375
升,4371
輸,4354
牙,4351
係由,4345
博,4339
乜,4329
附,4319
夠,4305
繼,4299
航,4277
態,4274
亦都,4269
另外,4268
織,4266
劉,4258
回,4251
雖然,4245
設計,4244
執,4231
央,4225
負,4225
錢,4217
比較,4213
九龍,4211
率,4209
狀,4207
助,4199
之前,4196
友,4189
發生,4189
多數,4186
企,4183
問題,4169
群,4165
有啲,4164
賣,4159
一齊,4153
停,4149
像,4145
佢係,4143
極,4142
存,4135
民國,4134
哥,4133
效力,4133
佛,4107
粒,4105
止,4105
項,4098
批,4097
樹,4094
價,4092
幫,4089
衛,4081
擊,4079
科學,4067
親,4058
油,4053
係日本足球員,4053
係一個,4048
出名,4044
珠,4043
喺香港,4031
字母,4022
鐘,3994
拜,3994
責,3990
期間,3990
著,3980
坦,3980
準,3971
往,3966
冠,3960
中央,3950
活動,3943
臺灣,3937
司職,3934
參加,3927
望,3925
便,3921
況,3915
宮,3913
之間嘅,3910
自然,3900
都會,3899
拿,3898
房,3893
隨,3861
酒,3845
習,3842
而且,3842
密,3840
監,3835
富,3831
認為,3820
係喺,3819
覺,3818
兼,3816
一次,3800
結果,3795
出嚟,3794
精,3788
草,3781
先至,3778
中學,3766
失,3762
兒,3752
需,3745
控,3744
媒,3742
氏,3741
吉,3741
歸,3722
晚,3721
重有,3719
作品,3710
廣東話拼音,3704
部份,3694
組織,3686
假,3685
遠,3672
植,3668
動物,3668
教育,3661
為咗,3654
聞,3648
殺,3636
主持,3622
工作,3615
城市,3608
一直,3599
船,3598
防,3597
人嘅,3595
督,3592
成員,3588
獲,3583
輪,3583
製作,3579
分別,3577
驗,3569
範,3567
方面,3560
左,3557
致,3556
亦有,3552
發現,3549
馬路,3542
譯,3540
用嚟,3538
增,3532
裏,3528
廣州市,3520
出世,3517
鄉,3511
喺中,3510
盟,3505
確,3496
學家,3491
廿,3488
電腦,3487
牛,3485
塔,3476
除咗,3474
管理,3470
學生,3470
溫,3468
備,3464
店,3451
佳,3450
時期,3449
順,3433
復,3420
廳,3409
具,3406
則,3402
一樣,3398
民主,3393
慶,3390
北京,3388
一部,3384
搵,3380
滿,3375
頂,3375
靈,3374
革,3374
唔少,3371
吳,3357
工程,3350
甚,3346
上嘅,3343
轄,3342
智,3342
章,3329
有好多,3325
登,3311
甲,3294
莫,3286
某,3285
根據,3279
主義,3275
預,3266
入面嘅,3266
夏,3261
祖,3259
貨,3255
移,3254
序,3253
志,3249
學院,3240
中國大陸,3236
佔,3234
上面,3233
經過,3205
戶,3201
交通,3200
台灣,3196
射,3194
鐵路,3184
進行,3184
出嘅,3178
顯,3176
秀,3176
瑞,3175
表示,3166
第三,3159
加入,3157
大嘅,3156
啟,3149
藍,3145
無綫電視,3139
嘅時,3138
串,3137
難,3130
皮,3130
個名,3130
平方公里,3119
永,3118
呢種,3115
夜,3110
詩,3108
旗,3106
注,3105
所有,3094
攞到,3084
地鐵,3081
甚至,3080
川,3079
名嘅,3074
嗰度,3069
哈,3068
關係,3068
係大,3067
察,3062
丹,3060
朗,3054
守,3053
岸,3052
野,3052
歐洲,3050
機場,3049
畢,3047
兵,3046
嘅大,3045
副,3044
麗,3039
提供,3036
廠,3031
右,3031
議員,3029
買,3026
紙,3026
藝人同埋,3023
策,3016
另一,3013
俄,3011
奇,3008
組成,3005
坡,3003
等等,3001
承,2999
乘,2995
練,2979
絡,2977
退,2973
附近,2971
以及,2970
紹,2962
最大,2956
請,2954
突,2952
肉,2950
毛,2948
係一種,2948
綠,2947
其中一個,2945
負責,2942
重要,2938
係日本嘅一個,2927
嶺,2915
方法,2912
舉行,2900
情況,2896
計劃,2893
埔,2879
呢個站,2879
委員會,2877
述,2876
短,2874
決定,2868
測,2860
得到,2860
專輯,2858
用嘅,2856
封,2855
塘,2851
嘅主,2851
獨立,2850
藥,2848
事件,2847
仁,2835
照,2827
署,2821
咗一,2815
同年,2815
生活,2794
會有,2792
總統,2792
有關,2790
邦,2785
途,2779
植物,2778
成日,2768
馬來西亞,2767
洛,2765
係用,2761
曆,2754
旅,2752
宋,2741
演唱,2736
破,2734
迪,2732
令到,2732
直到,2732
菲,2729
單位,2726
變成,2725
息,2724
特別,2712
中文,2710
曼,2705
係同,2704
醫院,2698
爆,2693
月台,2693
同一,2693
壓,2688
血,2681
就會,2681
微,2680
系列,2680
家嘅,2676
嘅中,2672
亞洲,2671
嘅其中一,2666
梁,2661
簡稱,2660
隔,2657
眼,2656
上海,2650
背,2648
印度,2646
春,2645
到咗,2644
寧,2637
核,2636
健,2636
後來,2636
神經,2635
抗,2634
學名,2625
賓,2624
幹,2622
嗌,2621
農,2617
а,2611
勢,2610
該,2610
降,2607
呢條,2607
新聞,2606
藝術,2606
東南,2604
有人,2603
以下,2603
靠,2601
衞,2597
菜,2595
埃,2593
網絡,2585
喺呢,2585
薩,2583
立法,2580
能夠,2579
需要,2578
傳統,2577
雅,2575
符,2573
粵語,2571
訓,2567
下嘅,2566
競,2565
茶,2560
新界,2559
做過,2554
邨,2553
摩,2544
啱,2541
嘅電,2539
支持,2538
資訊,2536
麥,2535
荷,2535
孫,2534
私,2527
濱,2521
比賽,2519
最高,2516
圓,2515
婚,2512
股,2511
杜,2508
主演,2508
介紹,2506
德國,2506
通過,2506
使用,2505
郡,2497
會議,2495
異,2493
畢業,2491
頓,2484
超過,2483
基本,2482
過程,2478
胞,2477
君,2476
香港電,2475
嗮,2473
球場,2473
淨,2471
楊,2469
聯合,2466
腳,2465
係中國廣東,2464
徵,2460
按,2460
頻,2459
儀,2454
籍,2453
推出,2450
一位,2444
只係,2442
味,2439
攻,2437
載,2437
送,2437
散,2433
救,2433
鄭,2428
呢度,2426
你,2425
之外,2425
設施,2424
闊,2417
雄,2417
諾,2417
國民,2416
全國,2408
延,2405
款,2399
體育,2398
生物,2397
藏,2388
雜,2388
主席,2385
冠軍,2383
傷,2382
毒,2365
唔會,2365
敦,2364
中嘅,2364
善,2362
斷,2360
粉,2358
鍾,2358
要求,2353
佬,2352
議會,2345
姓,2344
均,2339
仙,2338
贏,2338
娛,2338
人士,2337
雪,2334
隆,2333
細胞,2333
年開始,2333
於是,2332
改名,2328
聽,2325
嘅嘢,2325
人類,2323
啲人,2320
必,2319
勒,2318
嚴,2312
出咗,2312
中華人民共和國,2311
о,2307
廣東省,2307
當地,2306
一隻,2305
成功,2305
塞,2302
谷,2299
都唔,2298
盧,2296
三個,2295
橫,2289
裏面,2289
遺,2285
俾人,2282
禮拜,2278
互,2276
意思,2276
東北,2276
面有,2276
自由,2275
勝,2274
角色,2272
集團,2271
畀人,2270
可以用,2269
換,2268
程式,2268
臨,2267
免,2265
係個,2262
時代,2260
廟,2259
原本,2256
屬於,2254
國人,2254
擔,2251
時嘅,2251
理論,2249
透,2246
臘,2246
年到,2242
嘅國,2242
公路,2239
庭,2236
涌,2235
到嘅,2235
有限公司,2232
太陽,2231
剌,2229
廈,2227
榮,2227
判,2225
鮮,2222
號開,2218
搬,2208
嘅係,2205
係種,2204
零,2202
豐,2194
童,2194
材,2192
板,2186
魯,2179
技術,2169
現代,2168
結構,2164
地球,2164
唔同嘅,2160
環境,2159
蛋,2157
係有,2156
行為,2153
電子,2152
大約,2151
姐,2148
香港嘅,2147
紀念,2146
優,2144
係美國,2142
翻,2140
受到,2138
幕,2137
娛樂,2137
慢,2128
配音員,2126
盛,2124
理學,2124
婆,2123
減,2123
最佳,2123
絕,2120
切,2118
后,2117
許,2116
碟,2112
雨,2111
番,2111
嘅一種,2109
雷,2105
軟,2104
聯賽,2104
西班牙,2104
公共,2103
採,2095
繼續,2093
發行,2090
蒙,2089
係佢,2087
條路,2087
酸,2085
徑,2084
嘅數,2083
有唔,2082
喺中國,2081
處理,2080
十二,2079
電視劇,2077
補,2075
若,2073
良,2072
索,2072
階,2071
唯,2068
潮,2067
松,2065
州嘅,2059
餐,2055
刻,2054
依家,2054
路嘅,2052
位置喺奧斯坦尼大區嘅,2050
作為,2049
嘅名,2048
因此,2046
乎,2045
成個,2045
韻,2044
有兩,2044
數學,2044
參與,2042
澤,2041
盃,2040
諗,2037
估,2034
係廣,2034
要嘅,2034
控制,2034
閏,2030
恩,2028
等嘅,2026
合作,2026
犯,2024
嘅方,2024
罪,2018
課,2018
方式,2018
豆,2014
貴,2012
作嘅,2011
皇帝,2010
玩家,2008
一帶,2007
家下,2007
西南,2006
唔到,2005
養,2004
盤,2002
邊嘅,2002
成嘅,2000
森,1996
析,1995
宇,1994
飾,1994
開放,1993
填,1992
偉,1989
臣,1988
機構,1984
輕,1983
疑,1982
燒,1982
過嘅,1982
共有,1981
彩,1976
嚟嘅,1976
範圍,1975
游,1974
跟住,1974
暴,1972
標準,1971
做咗,1970
道路,1968
彈,1967
媒體,1967
每年,1966
羅馬,1965
生產,1964
耳,1963
媽,1961
銀行,1961
嘅地方,1960
耐,1958
鋒,1957
定義,1957
唱片,1955
略,1954
宣佈,1954
敗,1950
中共,1950
流行,1948
貝,1947
今日,1947
一定,1946
含,1945
億,1939
財,1938
澳洲,1934
並且,1933
雞,1930
庫,1930
越南,1929
嗰個,1928
產生,1926
市場,1923
峰,1920
起好,1917
朱,1915
呼,1914
行嘅,1912
飲,1907
黎,1906
麻,1904
吸,1903
中華民國,1901
亡,1899
任何,1897
惠,1896
會喺,1895
崗,1892
廣播,1891
亂,1886
激,1883
映,1883
會用,1882
嚟講,1882
相關,1881
效力過,1880
導演,1879
大部,1875
釋,1873
多人,1873
自己嘅,1873
主角,1872
西北,1872
保護,1871
港島,1870
葡,1867
提出,1867
分析,1864
涉,1861
逐,1861
幾個,1860
數據,1859
粗,1858
幣,1857
複,1857
路線,1856
直接,1855
俄羅斯,1854
擬,1853
位於,1853
工業,1851
數字代表聲調,1848
係拉丁字母同阿剌伯數字串字,1847
紐,1846
球會,1844
屋企,1843
形成,1843
後嚟,1841
加坡,1840
併,1835
憲,1835
胡,1834
意大利,1834
泛,1833
尖,1833
萊,1833
佢同,1832
年出,1832
會嘅,1829
商業,1825
沿,1823
主題,1823
有時,1823
秋,1819
跳,1818
追,1817
故仔,1816
簽,1814
航空,1813
內容,1812
烏,1811
出入,1811
係香港一,1808
功能,1806
拆,1805
揀,1805
嘅話,1805
居民,1805
銷,1799
萬人,1797
審,1794
軌,1794
文學,1792
就有,1792
俗,1791
檔,1791
句,1789
交界,1789
同佢,1785
旋,1783
塊,1782
梅,1782
勞,1781
出道,1781
竹,1780
禁,1780
歡,1778
有個,1778
仍,1775
一年,1774
市嘅,1773
國國,1771
筆,1768
搞到,1767
化學,1767
利亞,1765
演出,1763
反應,1761
事務,1759
踢,1756
民族,1754
戰爭,1753
大廈,1752
物理,1751
希臘,1751
加拿大,1749
第一次,1747
概念,1743
益,1741
個月,1741
豪,1738
尤,1737
逢,1737
吓,1734
烈,1734
攝,1729
一座,1729
都可以,1726
曾經喺,1726
首府,1724
距,1721
覽,1721
主教,1719
熱帶,1717
炎,1715
圈,1715
漫,1714
也,1714
池,1713
檢,1713
生嘅,1711
堡,1710
約莫,1710
嘅字,1710
嚟自,1708
鳥,1707
訓練,1706
完全,1705
疫,1704
普通,1704
擴,1701
佢哋嘅,1700
頒,1699
徒,1699
某啲,1698
險,1697
嚮,1695
太平,1695
堅,1694
授,1694
舖,1692
喺大,1690
民黨,1690
加上,1689
學嘅,1689
蓮,1688
哲,1688
瑪,1687
二十,1687
幅,1681
尼亞,1680
械,1679
憑,1679
昌,1678
每個,1678
帝國,1676
柏,1675
規劃,1675
南邊,1673
餘,1672
大道,1669
大埔,1666
露,1664
能力,1664
染,1663
適,1663
末,1657
第四,1657
播出,1657
糖,1656
憶,1655
學習,1655
廣場,1653
用咗,1653
歌曲,1653
父,1651
訂,1650
申,1649
豬,1649
基督,1647
一共,1647
立法會,1647
死咗,1645
鬥,1643
乘客,1643
就喺,1642
元素,1642
有嘅,1640
後嘅,1638
以前,1638
入咗,1637
為佢,1636
性嘅,1636
寺,1635
喜,1635
第十,1635
恆,1634
嘅其中一個,1633
耶,1629
接受,1626
融,1625
坐,1625
字係,1624
革命,1624
地下,1623
嘅時候,1623
佢做,1622
絲,1621
壇,1618
更加,1615
紫,1614
骨,1614
位置喺阿,1612
模型,1611
小學,1611
中間,1610
訪,1609
十年,1608
全球,1608
係介紹,1605
夾,1604
喺一,1603
裁,1602
刺,1602
半島,1602
衣,1601
地嘅,1601
國共,1600
出名嘅,1600
總面積,1599
年起,1596
н,1593
為主,1593
小行星,1593
休,1592
瑞典,1592
韓國,1592
大型,1592
建立,1592
葵,1588
硬,1587
一路,1587
函,1586
形式,1585
年間,1584
嘅行,1583
政區,1577
而呢,1576
玉,1574
屬嘅,1574
嚟做,1574
球隊,1573
反對,1573
弟,1570
湖南,1570
度嘅,1570
舊時,1570
全長,1569
法文,1569
療,1568
東京,1568
乾,1566
面係,1565
冰,1564
津,1563
多個,1563
繁,1561
對於,1561
組合,1560
常見,1560
е,1557
擁,1557
市民,1557
機械,1555
夢,1553
平均,1553
喺廣,1553
人工,1548
匯,1547
錯,1547
重新,1547
年嗰陣發生過啲乜事,1546
操,1545
相對,1545
咗嘅,1544
虎,1543
渡,1542
聚,1540
機會,1537
廷,1536
職業,1536
翠,1532
唯一,1532
討,1531
呢間,1531
年喺,1528
址,1527
站嘅,1524
晉,1523
開發,1522
嘅成,1519
電視台,1515
鏡,1514
旺,1514
楚,1514
同中,1514
個仔,1514
空間,1512
干,1511
苑,1510
殖,1509
行動,1509
嘅生,1507
冷,1505
傳媒,1504
嘅作,1503
條馬路,1502
路同,1500
版本,1499
年度,1499
實驗,1498
茲,1497
十一,1496
安全,1496
嘅交,1491
嘅政,1487
引起,1485
и,1483
簡單,1483
領域,1483
肺,1482
晝,1482
迎,1482
岡,1480
幻,1479
急,1479
狀態,1478
貢,1476
小說,1476
存在,1475
浪,1474
演唱會,1474
鄧,1473
羊,1470
見到,1470
探,1469
搭,1467
銅,1467
係第,1466
調查,1465
售,1464
北部,1464
一粒,1464
嘅文,1462
嘅歌,1462
係同之間嘅自然數,1462
表演,1461
懷,1460
陰,1460
國政,1460
傾,1459
週,1459
立嘅,1459
全部,1459
然後,1458
藝員,1458
北邊,1457
駐,1456
固,1456
謝,1456
錦,1455
最終,1455
人員,1454
謂,1453
年之,1452
冬,1450
端,1449
定嘅,1449
創作,1446
嘅特,1445
氧,1441
大清,1441
曉,1438
購,1438
人都,1437
宗教,1437
作家,1436
荔,1435
呢次,1434
學上,1434
束,1433
數嘅,1433
有幾,1433
莊,1432
數值,1432
佐,1431
喺上,1431
針,1430
只有,1427
原因,1427
各種,1427
了,1426
而喺,1424
隧,1423
之中,1423
係因為,1422
大概,1420
科技,1420
傑,1419
出版,1419
湯,1418
嘅車,1418
漸,1415
格蘭,1415
透過,1415
奶,1414
後喺,1414
枝,1413
雀,1412
收費,1412
總共,1410
資料,1410
害,1409
側,1408
嘅新,1408
援,1407
拔,1407
人物,1407
芭,1406
國內,1406
背景,1406
危,1405
避,1405
赤,1404
韋,1403
方向,1403
鬼,1402
呢隻,1402
槍,1401
設有,1401
好多時,1401
第一個,1401
獲得,1400
有一個,1400
混,1399
分鐘,1399
中山,1399
阿爾,1399
司職中場,1399
泉,1397
電台,1397
倫敦,1394
批評,1394
衝,1393
旗下,1393
投票,1393
官方,1393
南部,1393
係英國,1392
嘅資,1391
井,1390
造成,1389
墨,1388
敏,1386
晒,1385
鍾意,1385
起咗,1384
熟,1383
描,1381
女子,1379
現象,1379
嘅意,1378
公元,1377
尤其,1377
相當,1377
圳,1376
震,1375
牆,1374
酒店,1373
久,1372
原名,1372
實際,1372
迷,1371
濕,1371
制度,1371
飛機,1371
武漢,1370
擔任,1370
蟲,1369
擺,1369
岩,1369
舍,1369
縮,1369
趙,1368
嘅工,1368
巨,1367
顯示,1363
役,1362
妹,1362
例子,1362
花園,1361
自治,1360
十三,1360
喺新,1360
號開始,1360
徐,1359
誌,1359
函數,1359
嘅公,1359
隧道,1358
嘅機,1358
額,1357
深圳,1357
艾,1356
燈,1356
那,1355
市政,1355
聯盟,1355
秦,1351
號綫,1350
應該,1350
坊,1349
方便,1349
培,1348
侵,1348
文字,1347
區議會,1347
屯,1346
號喺,1346
個地,1346
炸,1343
洪,1343
恐,1341
　,1340
期嘅,1340
希望,1340
颱,1339
篇,1339
嘅學,1337
執導,1337
蚊,1336
招,1335
碼頭,1335
溪,1333
源自,1333
主要係,1333
綜,1332
顧,1332
覺得,1332
名係,1329
柱,1326
各地,1326
將佢,1326
佢亦,1326
先後,1326
租,1324
慧,1324
以上,1323
參選,1323
偏,1322
下面,1322
法律,1322
颱風,1321
魔,1319
暫,1318
獻,1317
輔,1317
泳,1317
作曲,1317
稱為,1317
產品,1317
汽,1315
開咗,1315
分佈,1315
坑,1314
品種,1314
頻道,1314
咗個,1314
史上,1313
物嘅,1312
淨係,1312
最大嘅,1312
國一,1311
連接,1311
最多,1310
知識,1310
嘅原,1309
到佢,1309
經歷,1308
朝鮮,1308
一世,1307
煙,1306
р,1306
之下,1306
好大,1306
其實,1305
發表,1304
誤,1303
滅,1301
宅,1300
政策,1300
公開,1300
衫,1298
遇,1298
係唔,1298
特徵,1297
飯,1296
係中華,1296
蓋,1295
風格,1293
南北,1293
峽,1290
初期,1290
曹,1288
跨,1288
嘅法,1287
郭,1286
嘅發,1286
喺北,1286
嘅最,1286
常用,1285
大量,1285
泰國,1285
高嘅,1285
爸,1284
狗,1283
號到,1283
係日本嘅一個男,1282
噉嘅,1281
同其他,1281
托,1280
秘,1280
將軍,1280
渠,1279
特色,1279
旅遊,1279
一段,1279
用途,1278
新嘅,1278
用到,1277
區域,1275
南京,1275
宜,1272
廢,1270
蕾,1269
壞,1269
陣時,1269
觀眾,1268
宿,1267
爭議,1266
化嘅,1266
係日本嘅一個女藝人同埋配音員,1266
翼,1265
喺度,1265
學同,1264
日文,1263
會同,1262
早期,1262
泥,1260
一套,1260
阿拉,1260
衛視,1259
會主,1259
前鋒,1257
閣,1256
合併,1256
丘,1254
充,1254
靜,1254
四個,1254
體嘅,1254
艦,1253
甘,1253
街道,1253
荃,1252
代嘅,1249
借,1248
心理,1248
目的,1247
着,1246
領導,1246
唐人,1246
市區,1245
廣告,1244
北面,1243
梯,1242
惡,1236
聯邦,1235
記者,1235
首都,1235
績,1234
擁有,1234
輝,1233
董,1233
襲,1232
仍然,1232
虛,1231
企業,1231
一個縣,1230
嘅美國,1230
症,1229
榜,1229
同地,1229
唔可以,1229
嘅分,1227
目前,1226
利用,1225
星期,1224
辭,1223
左右,1221
身份,1221
家同,1221
非常,1220
記憶,1220
名叫,1220
佢個,1219
欣,1218
鋪,1218
咗好多,1218
列車,1217
係以,1217
年成立,1217
色嘅,1216
鼓,1215
年至,1214
國語,1214
走向,1214
智能,1213
穿,1212
哲學,1212
大會,1212
同大,1212
網上,1211
香港政府,1211
十八,1210
關嘅,1210
入面有,1210
軍事,1209
專門,1208
創辦,1208
擇,1207
厄,1207
都好,1207
刊,1206
大多數,1206
三十,1204
警察,1204
棟,1203
因爲,1202
而家嘅,1202
尊,1201
